                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.89202,                 2.0264,                  1.708,                0.96961,                      1,                  0.995,                  0.995,                0.33413,                 1.0359,                0.85916,              0.0006108,              0.0006108,              0.0006108
                     75,                0.91213,                 2.0082,                 1.6728,                0.95317,                      1,                  0.995,                 0.8955,                0.52926,                 1.2337,                0.98268,             0.00060938,             0.00060938,             0.00060938
                     76,                0.80474,                  1.862,                 1.5426,                0.95944,                      1,                  0.995,                 0.8955,                0.45016,                 1.1756,                0.92772,             0.00060797,             0.00060797,             0.00060797
                     77,                0.77091,                 1.8341,                 1.5787,                0.97247,                      1,                  0.995,                 0.8955,                0.36635,                0.74663,                0.88166,             0.00060656,             0.00060656,             0.00060656
                     78,                 0.8552,                   1.97,                 1.6321,                0.97401,                      1,                  0.995,                 0.8955,                0.31369,                0.89653,                0.81698,             0.00060514,             0.00060514,             0.00060514
                     79,                0.87187,                 1.9356,                 1.6344,                 0.9737,                      1,                  0.995,                  0.995,                0.42842,                 1.0409,                0.83643,             0.00060373,             0.00060373,             0.00060373
                     80,                0.89216,                 1.9099,                 1.6297,                0.96302,                      1,                  0.995,                 0.8955,                0.45226,                 1.1028,                0.90729,             0.00060232,             0.00060232,             0.00060232
                     81,                0.86209,                 1.9954,                 1.6114,                0.85888,                      1,                  0.995,                  0.995,                0.40073,                 1.6887,                0.97778,              0.0006009,              0.0006009,              0.0006009
                     82,                0.86873,                 1.9588,                 1.6594,                0.95773,                      1,                  0.995,                  0.995,                0.56901,                  1.303,                 1.0234,             0.00059949,             0.00059949,             0.00059949
                     83,                 0.8733,                 1.9339,                 1.5991,                0.97126,                      1,                  0.995,                  0.995,                0.42677,                 1.1795,                0.90257,             0.00059807,             0.00059807,             0.00059807
